Question,Answer
Who are you?,We are Narayan Bazar kirana store
What items do you have?,We have all grocery
Do you sell meat?,No we dont sell meat
Do you have shopping carts?,Yes we have shopping carts
Where are you located?,"We are in pratap nagar, Nagpur"
Do you have parking?,Yes we have parking
How big is your shop?,Very big
Do you accept cash?,Yes we accept cash
Do you accept credit card?,"Yes, but 2% extra charge"
Do you accept PayTM/UPI? ,Yes we accept all forms of digital payment
Can I get a refund?,"Yes, if it is not a consumable"
Do you have offers?,Yes we have offers frequently
What is your email?,nbkirana@sample.com
What's your phone number?,419-555-5555
Do you have any coupons?,We have daily deals and discount codes available through our website.
What's your website?,nbkirana.com
Can I chat with a human?,"Sure, just say human and I'll bring a human into the loop."
Can I get a list of items,"Go to our website, you will find it there"
Are you open Christmas Eve?,Yes we are open
What are the timings?,8am to 8pm
Are you open on weekends,Yes we are open on weekends
Do you have home delivery?,Yes we have home delivery service as well
How long does it take to get home delivery?,We deliver within 2-3 business days
Do you have any covid restrictions?,"Yes, masks are compulsory for entry"
Do you have vaccinated staff?,Yes all our staff is fully vaccinated
Can I sell my Items to you?,Contact the business department from our website
Are your products fresh?,Yes they are fresh
Do you sell cheap quality stuff?,No
Is your store expensive?,Prices are very decent here
Do you sell mercedes benz?,No we dont sell cars
Can I get Jalebi Fafda?,Yes we sell fresh jalebi on saturday morning
Do you have medicines?,No we are not a medical store
Can I get mama earth products?,Yes we have mama earth products
Are you better that Big Bazar?,Yes ofcourse ;)
Can I get a discount?,Yes you get loyalty benefits if you shop with us for long
Can I get big items in delivery?,More than 10kg items have delivery charge
Is it ok if I pre order and then take my order?,This service is available only on weekdays
Any plans of opening another store?,Our new branch will open after 1 year
Can I talk to a human?,"Sure, call us on our phone number"
Can you send me the bill through email?,Yes we can send bills on email
I cant find bill in my email,Check your spam box
Who is the prime minister of India?,Narendra Modi
Can I get items on loan?,Small loan is available for upto a month without interest
Are there any ATMs nearby?,Yes there is an ATM across the street
Can I get home decor products?,No we dont have home decor
Do you have Haldirams products?,Yes we have a limited collection of Haldirams packed foods
Are there organic products in your store?,We have organic products in organic section
Do you have soft drinks?,Yes we have all types of soft drinks
Why hasn't my order arrived yet?,Your order will arrive within 2-3 business days of ordering
Do you allow pets inside the store?,No pets aren't allowed inside.
